"source","job_id","title","company","location","job_url","modality","seniority","is_remote","salary","post_date","tags","description_snippet","fetched_at"
"LinkedIn","4451080134","Ai Engineer (Genai)","Fyld","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-genai-at-fyld-4451080134","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4445539779","AI Automation Engineer","Avanai","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/ai-automation-engineer-at-avanai-4445539779","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4301203578","Generative AI Specialist","Inetum","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/generative-ai-specialist-at-inetum-4301203578","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4434324092","GenAI/Agentic Engineer","GRiT Solutions","Lisbon, Portugal","https://pt.linkedin.com/jobs/view/genai-agentic-engineer-at-grit-solutions-4434324092","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4407045581","AI Engineer","GRiT Solutions","Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-grit-solutions-4407045581","On-site / Hybrid","Entry-Level / Early Career",False,"","10 hours ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4445869933","Generative AI Engineer","Next Ventures","Portugal","https://pt.linkedin.com/jobs/view/generative-ai-engineer-at-next-ventures-4445869933","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4421789250","AI Engineer (HYBRID @Braga)","KCS iT","Greater Braga Area","https://pt.linkedin.com/jobs/view/ai-engineer-hybrid-%40braga-at-kcs-it-4421789250","Hybrid","Entry-Level / Early Career",False,"","1 month ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4445920932","AI & Data Academy (Lisbon)","CONKORD","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-data-academy-lisbon-at-conkord-4445920932","On-site / Hybrid","Entry-Level / Early Career",False,"","1 month ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4449213043","Machine Learning Engineering Intern","Zendesk","Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineering-intern-at-zendesk-4449213043","On-site / Hybrid","Junior / Trainee / Internship",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4419066093","Internship Programme 2027: Data Scientist and Analyst","Revolut","Portugal","https://pt.linkedin.com/jobs/view/internship-programme-2027-data-scientist-and-analyst-at-revolut-4419066093","On-site / Hybrid","Junior / Trainee / Internship",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4455318913","Data and AI Graduate","Sage","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/data-and-ai-graduate-at-sage-4455318913","On-site / Hybrid","Junior / Trainee / Internship",False,"","7 hours ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4431232465","AI Quality Assurance Engineer Trainee (IEFP)","Euronext","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-quality-assurance-engineer-trainee-iefp-at-euronext-4431232465","On-site / Hybrid","Junior / Trainee / Internship",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4432245211","AI & Business Intelligence internship M/F","ALTEN","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-business-intelligence-internship-m-f-at-alten-4432245211","On-site / Hybrid","Junior / Trainee / Internship",False,"","1 month ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4452631858","Data Scientist","Philip Morris International","Albarraque, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-at-philip-morris-international-4452631858","On-site / Hybrid","Entry-Level / Early Career",False,"","6 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4421839624","ML/AI Engineer","Glintt Global","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ml-ai-engineer-at-glintt-global-4421839624","On-site / Hybrid","Entry-Level / Early Career",False,"","2 months ago","[]","","2026-08-18 00:03:34"
